latitude,longitude,acq_date,confidence,frp,daynight
64.64674,24.42244,2026-05-15,n,1.7,N
65.55943,22.21993,2026-05-15,n,2.36,N
65.56007,22.21131,2026-05-15,n,2.36,N
65.56287,22.23027,2026-05-15,n,2.89,N
65.56349,22.2217,2026-05-15,n,2.36,N
65.56413,22.21313,2026-05-15,n,2.36,N
65.76526,24.18498,2026-05-15,n,3.31,N
65.7691,24.18699,2026-05-15,n,3.31,N
66.3098,14.17762,2026-05-15,n,0.8,N
50.54381,26.26022,2026-05-15,n,1.03,N
50.92911,21.67648,2026-05-15,n,1.13,N
52.15168,10.40567,2026-05-15,n,2.44,N
52.15184,10.39993,2026-05-15,n,2.44,N
52.1567,10.40601,2026-05-15,n,4.26,N
52.15685,10.40024,2026-05-15,n,4.23,N
52.15718,10.40607,2026-05-15,n,2.44,N
52.15735,10.40031,2026-05-15,n,2.44,N
52.16193,10.41797,2026-05-15,n,1.14,N
52.16235,10.41801,2026-05-15,n,1.26,N
52.16713,10.42996,2026-05-15,n,0.43,N
52.1675,10.42999,2026-05-15,n,1.25,N
52.17358,14.61457,2026-05-15,n,1.11,N
52.40029,12.49776,2026-05-15,n,2.11,N
52.40198,12.49991,2026-05-15,n,1.23,N
53.13044,8.67358,2026-05-15,n,1.65,N
53.13398,8.6914,2026-05-15,n,1.73,N
53.13416,8.67718,2026-05-15,n,1.94,N
53.13639,8.67379,2026-05-15,n,1.65,N
53.14009,8.67738,2026-05-15,n,1.94,N
53.14233,8.67401,2026-05-15,n,1.01,N
53.25829,24.44975,2026-05-15,n,0.84,N
53.26986,24.44209,2026-05-15,n,0.71,N
53.52295,9.90143,2026-05-15,n,1.79,N
53.52442,9.89982,2026-05-15,n,1.16,N
57.71113,18.80616,2026-05-15,n,1.18,N
61.06366,28.2402,2026-05-15,n,0.51,N
63.31537,9.14553,2026-05-15,n,0.79,N
64.66252,21.28299,2026-05-15,n,12.69,N
64.66345,21.28062,2026-05-15,n,11.14,N
42.71359,24.16994,2026-05-15,n,2.16,N
42.71696,24.17099,2026-05-15,n,1.44,N
44.01139,19.88601,2026-05-15,n,1.23,N
44.59804,20.97736,2026-05-15,n,1.13,N
45.12183,25.41937,2026-05-15,n,1.58,N
45.20728,19.70644,2026-05-15,n,0.64,N
45.2915,25.1101,2026-05-15,n,0.87,N
45.38255,11.94747,2026-05-15,n,1.27,N
45.42665,10.99824,2026-05-15,n,0.75,N
45.46055,10.45921,2026-05-15,n,2.36,N
45.46078,10.45467,2026-05-15,n,6.0,N
45.94961,25.28224,2026-05-15,n,0.82,N
47.78969,28.95208,2026-05-15,n,1.06,N
48.60445,21.17864,2026-05-15,n,1.87,N
48.60636,21.19077,2026-05-15,n,1.59,N
48.60784,21.17968,2026-05-15,n,5.46,N
48.61241,21.19839,2026-05-15,n,0.81,N
48.61802,21.1828,2026-05-15,n,0.57,N
48.74794,26.60649,2026-05-15,n,0.51,N
48.97624,24.70883,2026-05-15,n,1.88,N
49.91377,24.13103,2026-05-15,n,2.44,N
49.91704,24.13225,2026-05-15,n,4.73,N
49.91786,24.12696,2026-05-15,n,4.73,N
51.10547,18.94205,2026-05-15,n,1.57,N
51.16385,3.80536,2026-05-15,n,3.15,N
51.1641,3.81622,2026-05-15,n,3.15,N
51.16646,3.80507,2026-05-15,n,6.37,N
51.16676,3.81595,2026-05-15,n,5.46,N
51.17097,3.80503,2026-05-15,n,3.15,N
51.17122,3.81587,2026-05-15,n,3.15,N
51.1736,3.80469,2026-05-15,n,6.37,N
51.2979,7.00735,2026-05-15,n,2.04,N
51.29987,7.01118,2026-05-15,n,1.41,N
51.36321,6.70284,2026-05-15,n,4.15,N
51.36321,6.71103,2026-05-15,n,4.17,N
51.36433,6.70055,2026-05-15,n,2.55,N
51.36437,6.70874,2026-05-15,n,2.55,N
51.3696,6.70276,2026-05-15,n,4.15,N
51.37072,6.70047,2026-05-15,n,2.55,N
51.49215,6.73392,2026-05-15,n,3.04,N
51.49293,6.73806,2026-05-15,n,2.3,N
51.59595,8.33381,2026-05-15,n,1.99,N
55.09299,21.80278,2026-05-15,n,0.45,N
55.48577,28.59922,2026-05-15,n,2.29,N
56.31252,22.9161,2026-05-15,n,0.63,N
57.06298,9.97473,2026-05-15,n,1.51,N
57.06303,9.97505,2026-05-15,n,1.9,N
37.36951,27.27853,2026-05-15,n,0.51,N
38.12804,23.52443,2026-05-15,n,0.85,N
38.42564,27.24911,2026-05-15,n,0.83,N
38.45289,27.26377,2026-05-15,n,0.88,N
38.73509,26.94453,2026-05-15,n,1.72,N
38.73795,26.93131,2026-05-15,n,0.99,N
38.73902,26.94603,2026-05-15,n,1.72,N
38.74199,26.95196,2026-05-15,n,0.94,N
38.74297,26.94744,2026-05-15,n,0.94,N
38.74691,26.94889,2026-05-15,n,0.94,N
38.75277,26.94141,2026-05-15,n,0.46,N
38.75373,26.93694,2026-05-15,n,0.73,N
38.7929,15.21282,2026-05-15,n,0.87,N
38.79375,15.20533,2026-05-15,n,1.49,N
39.08201,9.0178,2026-05-15,n,2.09,N
39.09086,27.51305,2026-05-15,n,0.81,N
39.60693,27.88023,2026-05-15,n,0.52,N
39.86604,26.24537,2026-05-15,n,2.92,N
39.89986,28.87068,2026-05-15,n,0.84,N
40.50161,17.21725,2026-05-15,n,1.01,N
40.50293,17.20671,2026-05-15,n,1.01,N
40.50938,17.21353,2026-05-15,n,1.33,N
40.51715,17.20982,2026-05-15,n,1.63,N
40.52137,17.20531,2026-05-15,n,0.75,N
40.62677,17.99798,2026-05-15,n,0.52,N
40.63023,17.99876,2026-05-15,n,0.52,N
40.75817,29.7597,2026-05-15,n,2.2,N
40.78091,29.60414,2026-05-15,n,0.82,N
40.78364,29.53337,2026-05-15,n,0.69,N
41.01948,28.55373,2026-05-15,n,0.78,N
41.72357,22.13475,2026-05-15,n,0.33,N
41.79662,26.70433,2026-05-15,n,0.62,N
42.14744,21.29821,2026-05-15,n,0.59,N
36.67815,3.11639,2026-05-15,n,0.92,N
36.68182,3.12089,2026-05-15,n,2.28,N
63.31672,9.14355,2026-05-15,n,0.88,N
64.6638,21.2742,2026-05-15,n,23.2,D
53.52251,9.90178,2026-05-15,n,1.96,N
53.87426,9.58193,2026-05-15,n,1.08,N
53.87547,9.58538,2026-05-15,n,1.07,N
55.43327,24.88358,2026-05-15,n,0.96,N
56.29317,-3.1314,2026-05-15,n,1.48,N
56.29325,-3.13136,2026-05-15,n,1.31,N
56.31386,22.91697,2026-05-15,n,0.68,N
57.0609,9.97704,2026-05-15,n,1.79,N
58.68073,17.13447,2026-05-15,n,1.13,N
58.68282,17.12702,2026-05-15,n,1.11,N
59.64784,6.36165,2026-05-15,n,0.55,N
60.81135,5.0288,2026-05-15,n,0.96,N
48.98467,1.75798,2026-05-15,n,2.14,N
49.47557,0.53215,2026-05-15,n,0.8,N
50.40345,3.56059,2026-05-15,n,0.78,N
50.47326,3.99222,2026-05-15,n,1.73,N
50.54732,4.21728,2026-05-15,n,0.74,N
50.8353,-1.36568,2026-05-15,n,1.2,N
50.83858,-1.36446,2026-05-15,n,0.97,N
51.02728,2.27044,2026-05-15,n,1.76,N
51.03365,2.25514,2026-05-15,n,0.68,N
51.03511,2.28619,2026-05-15,n,3.32,N
51.04171,2.28922,2026-05-15,n,3.55,N
51.04399,2.29634,2026-05-15,n,3.55,N
51.04729,2.29786,2026-05-15,n,1.5,N
51.16598,4.33421,2026-05-15,n,0.62,N
51.36421,6.71303,2026-05-15,n,1.36,N
51.36581,6.70589,2026-05-15,n,4.55,N
51.36944,6.70797,2026-05-15,n,1.44,N
51.37149,6.71718,2026-05-15,n,1.48,N
51.39771,-3.3944,2026-05-15,n,1.0,N
51.42405,6.73907,2026-05-15,n,2.88,N
51.46209,6.74319,2026-05-15,n,0.54,N
51.47936,6.7209,2026-05-15,n,1.77,N
51.48096,6.71375,2026-05-15,n,2.85,N
51.48255,6.70662,2026-05-15,n,2.85,N
51.483,6.72296,2026-05-15,n,1.77,N
51.48413,6.69953,2026-05-15,n,2.9,N
51.48459,6.71582,2026-05-15,n,2.85,N
51.48618,6.70868,2026-05-15,n,2.85,N
51.49231,6.7363,2026-05-15,n,3.18,N
51.49595,6.73836,2026-05-15,n,3.18,N
51.50843,6.73747,2026-05-15,n,0.73,N
52.15187,10.40479,2026-05-15,n,4.1,N
52.15343,10.3986,2026-05-15,n,6.2,N
52.15588,10.40752,2026-05-15,n,7.23,N
52.15744,10.40134,2026-05-15,n,10.62,N
52.1599,10.41026,2026-05-15,n,7.23,N
52.16236,10.41917,2026-05-15,n,2.43,N
52.16402,10.41952,2026-05-15,n,0.93,N
52.16483,10.42805,2026-05-15,n,1.48,N
52.16646,10.42839,2026-05-15,n,0.93,N
52.46627,7.31953,2026-05-15,n,1.16,N
53.12305,8.68756,2026-05-15,n,1.58,N
53.13039,8.6743,2026-05-15,n,3.93,N
53.13409,8.67668,2026-05-15,n,3.93,N
53.13417,8.69473,2026-05-15,n,1.0,N
53.13599,8.68687,2026-05-15,n,1.0,N
53.1378,8.67907,2026-05-15,n,2.89,N
53.6834,-6.38548,2026-05-15,n,0.9,N
39.08126,9.01736,2026-05-15,n,1.84,N
40.55503,9.67196,2026-05-15,n,0.72,N
48.10816,-1.03481,2026-05-15,n,0.86,N
35.02504,-3.39643,2026-05-15,n,1.29,N
35.02848,-3.39551,2026-05-15,n,1.29,N
35.31255,-1.34365,2026-05-15,n,0.39,N
35.53079,-0.27622,2026-05-15,n,1.5,N
35.76262,-0.27255,2026-05-15,n,0.82,N
35.78188,0.53904,2026-05-15,n,0.73,N
35.80533,-0.24541,2026-05-15,n,1.23,N
35.80624,-0.24557,2026-05-15,n,1.17,N
35.80871,-0.25765,2026-05-15,n,0.69,N
35.81423,-0.26815,2026-05-15,n,0.6,N
35.815,-0.26838,2026-05-15,n,0.97,N
35.87986,4.44684,2026-05-15,n,1.75,N
36.0184,0.12371,2026-05-15,n,1.56,N
36.12719,1.24204,2026-05-15,n,1.61,N
36.13232,1.2388,2026-05-15,n,1.61,N
36.18004,3.74741,2026-05-15,n,2.44,N
36.33411,5.48002,2026-05-15,n,1.86,N
36.59549,2.87757,2026-05-15,n,0.56,N
36.68193,3.12391,2026-05-15,n,1.75,N
36.71238,-4.3297,2026-05-15,n,0.54,N
36.74456,6.25043,2026-05-15,n,1.41,N
36.74865,6.25675,2026-05-15,n,0.53,N
36.74953,3.08303,2026-05-15,n,1.15,N
36.74976,6.25259,2026-05-15,n,0.53,N
36.96723,-1.90752,2026-05-15,n,1.6,N
37.13549,-8.10192,2026-05-15,n,0.36,N
37.18049,-6.8951,2026-05-15,n,0.9,N
37.24911,-4.82775,2026-05-15,n,0.43,N
37.35211,-5.83366,2026-05-15,n,0.55,N
38.37922,-6.48524,2026-05-15,n,0.57,N
38.66696,-4.05237,2026-05-15,n,0.89,N
38.9195,-9.01225,2026-05-15,n,1.24,N
38.92312,-9.01149,2026-05-15,n,1.24,N
39.45889,-0.35317,2026-05-15,n,0.63,N
39.93508,-3.74317,2026-05-15,n,0.69,N
50.83664,-1.36196,2026-05-15,n,1.91,N
50.83719,-1.36613,2026-05-15,n,2.41,N
65.76588,24.18258,2026-05-15,n,3.41,D
65.56384,22.22324,2026-05-15,n,7.46,D
70.69084,23.6027,2026-05-15,n,12.02,D
40.21367,28.29246,2026-05-15,l,1.83,D
41.02152,28.55656,2026-05-15,l,2.48,D
42.41365,26.34121,2026-05-15,l,5.12,D
47.15461,28.62785,2026-05-15,n,2.96,D
47.51648,28.3727,2026-05-15,n,2.18,D
