latitude,longitude,acq_date,confidence,frp,daynight,country
45.21706,28.85383,2026-05-16,n,123.47,D,Romania
37.98436,-8.812,2026-05-19,n,51.63,D,Portugal
37.98475,-8.81614,2026-05-19,h,43.54,D,Portugal
45.54865,11.96755,2026-05-17,n,31.58,D,Italy
37.98182,-8.82495,2026-05-19,n,25.82,D,Portugal
49.65331,28.38662,2026-05-16,n,22.79,D,Ukraine
51.68835,15.9777,2026-05-19,n,19.56,D,Poland
52.84599,29.99024,2026-05-16,n,19.22,N,Belarus
45.21222,28.85439,2026-05-16,n,18.12,D,Romania
65.76696,24.18045,2026-05-18,h,16.48,N,Finland
